Image,Type,Code,Value,Path
S005_001,FACS,9,4,images/S005_001.png
S005_001,FACS,17,2,images/S005_001.png
S010_001,FACS,1,0,images/S010_001.png
S010_001,FACS,2,0,images/S010_001.png
S010_001,FACS,20,0,images/S010_001.png
S010_001,FACS,21,0,images/S010_001.png
S010_001,FACS,25,0,images/S010_001.png
S010_002,FACS,1,0,images/S010_002.png
S010_002,FACS,2,0,images/S010_002.png
S010_002,FACS,5,0,images/S010_002.png
S010_002,FACS,25,0,images/S010_002.png
S010_002,FACS,27,0,images/S010_002.png
S010_003,FACS,4,0,images/S010_003.png
S010_003,FACS,17,0,images/S010_003.png
S010_004,FACS,4,0,images/S010_004.png
S010_004,FACS,7,5,images/S010_004.png
S010_004,FACS,17,4,images/S010_004.png
S010_004,FACS,23,4,images/S010_004.png
S010_004,FACS,24,4,images/S010_004.png
S010_005,FACS,4,0,images/S010_005.png
S010_005,FACS,6,0,images/S010_005.png
S010_005,FACS,7,0,images/S010_005.png
S010_005,FACS,9,5,images/S010_005.png
S010_005,FACS,16,0,images/S010_005.png
S010_005,FACS,25,0,images/S010_005.png
S010_006,FACS,6,0,images/S010_006.png
S010_006,FACS,12,0,images/S010_006.png
S010_006,FACS,16,3,images/S010_006.png
S010_006,FACS,25,0,images/S010_006.png
S011_001,FACS,1,0,images/S011_001.png
S011_001,FACS,2,0,images/S011_001.png
S011_001,FACS,25,0,images/S011_001.png
S011_001,FACS,27,0,images/S011_001.png
S011_002,FACS,1,0,images/S011_002.png
S011_002,FACS,4,0,images/S011_002.png
S011_002,FACS,15,0,images/S011_002.png
S011_002,FACS,17,0,images/S011_002.png
S011_003,FACS,1,0,images/S011_003.png
S011_003,FACS,4,0,images/S011_003.png
S011_003,FACS,7,0,images/S011_003.png
S011_003,FACS,20,0,images/S011_003.png
S011_003,FACS,25,0,images/S011_003.png
S011_004,FACS,4,4,images/S011_004.png
S011_004,FACS,7,2,images/S011_004.png
S011_004,FACS,17,3,images/S011_004.png
S011_004,FACS,23,4,images/S011_004.png
S011_004,FACS,24,4,images/S011_004.png
S011_004,FACS,39,0,images/S011_004.png
S011_005,FACS,4,0,images/S011_005.png
S011_005,FACS,7,0,images/S011_005.png
S011_005,FACS,9,0,images/S011_005.png
S011_005,FACS,25,0,images/S011_005.png
S011_006,FACS,6,0,images/S011_006.png
S011_006,FACS,12,0,images/S011_006.png
S011_006,FACS,25,0,images/S011_006.png
S014_001,FACS,1,0,images/S014_001.png
S014_001,FACS,2,0,images/S014_001.png
S014_001,FACS,5,0,images/S014_001.png
S014_001,FACS,12,0,images/S014_001.png
S014_001,FACS,25,0,images/S014_001.png
S014_001,FACS,27,0,images/S014_001.png
S014_002,FACS,1,0,images/S014_002.png
S014_002,FACS,4,0,images/S014_002.png
S014_002,FACS,15,0,images/S014_002.png
S014_002,FACS,17,0,images/S014_002.png
S014_002,FACS,45,2,images/S014_002.png
S014_003,FACS,4,0,images/S014_003.png
S014_003,FACS,7,0,images/S014_003.png
S014_003,FACS,10,0,images/S014_003.png
S014_003,FACS,17,0,images/S014_003.png
S014_003,FACS,23,0,images/S014_003.png
S014_003,FACS,24,0,images/S014_003.png
S014_003,FACS,43,2,images/S014_003.png
S014_004,FACS,4,0,images/S014_004.png
S014_004,FACS,7,0,images/S014_004.png
S014_004,FACS,9,0,images/S014_004.png
S014_004,FACS,17,0,images/S014_004.png
S014_005,FACS,6,0,images/S014_005.png
S014_005,FACS,12,0,images/S014_005.png
S014_005,FACS,25,0,images/S014_005.png
S022_001,FACS,1,0,images/S022_001.png
S022_001,FACS,2,0,images/S022_001.png
S022_001,FACS,25,0,images/S022_001.png
S022_001,FACS,27,0,images/S022_001.png
S022_002,FACS,1,0,images/S022_002.png
S022_002,FACS,2,0,images/S022_002.png
S022_002,FACS,4,0,images/S022_002.png
S022_002,FACS,20,0,images/S022_002.png
S022_002,FACS,25,0,images/S022_002.png
S022_003,FACS,12,0,images/S022_003.png
S022_003,FACS,16,0,images/S022_003.png
S022_003,FACS,25,0,images/S022_003.png
S022_004,FACS,15,0,images/S022_004.png
S022_004,FACS,17,0,images/S022_004.png
S022_005,FACS,4,0,images/S022_005.png
S022_005,FACS,15,0,images/S022_005.png
S022_005,FACS,17,0,images/S022_005.png
S022_005,FACS,24,0,images/S022_005.png
S022_006,FACS,4,0,images/S022_006.png
S022_006,FACS,7,0,images/S022_006.png
S022_006,FACS,9,0,images/S022_006.png
S022_006,FACS,17,0,images/S022_006.png
S026_001,FACS,1,0,images/S026_001.png
S026_001,FACS,2,0,images/S026_001.png
S026_001,FACS,5,4,images/S026_001.png
S026_001,FACS,25,0,images/S026_001.png
