,age.goup,feature.a,feature.b,rho,pvalue,n.a,n.b
39,25 to 44,FeelSurprised,PctNotSadCorrect,-0.34801729,2.96E-10,310,310
32,25 to 44,FeelAfraid,TotalPctCorrect,-0.255793537,5.08E-06,310,310
38,25 to 44,FeelSurprised,PctNotHappyCorrect,-0.254658349,5.61E-06,310,310
30,25 to 44,FeelAfraid,PctNotHappyCorrect,-0.231856574,3.75E-05,310,310
40,25 to 44,FeelSurprised,TotalPctCorrect,-0.228752872,4.80E-05,310,310
113,45 to 64,FeelSurprised,PctHappyCorrect,-0.642099871,5.62E-05,44,33
98,45 to 64,FeelAngry,PctSadCorrect,-0.808290377,0.000151169,44,16
29,25 to 44,FeelAfraid,PctSurprisedCorrect,-0.228967785,0.00019625,310,260
31,25 to 44,FeelAfraid,PctNotSadCorrect,-0.207984674,0.000226415,310,310
80,18 to 24,FeelSurprised,TotalPctCorrect,-0.421537102,0.000343571,68,68
22,25 to 44,FeelAngry,PctNotHappyCorrect,-0.192090372,0.000673476,310,310
24,25 to 44,FeelAngry,TotalPctCorrect,-0.186035411,0.000998195,310,310
61,18 to 24,FeelAngry,PctSurprisedCorrect,-0.424152937,0.001008768,68,57
41,18 to 24,FeelHappy,PctHappyCorrect,0.466682223,0.001607197,68,43
7,25 to 44,FeelHappy,PctNotSadCorrect,-0.176954642,0.001761556,310,310
37,25 to 44,FeelSurprised,PctSurprisedCorrect,-0.191955421,0.001875698,310,260
14,25 to 44,FeelSad,PctNotHappyCorrect,-0.171826081,0.002399799,310,310
16,25 to 44,FeelSad,TotalPctCorrect,-0.167459959,0.003102077,310,310
97,45 to 64,FeelAngry,PctHappyCorrect,-0.481006614,0.004601408,44,33
76,18 to 24,FeelSurprised,PctAfraidCorrect,-0.493809221,0.004754385,68,31
62,18 to 24,FeelAngry,PctNotHappyCorrect,-0.336366877,0.005038715,68,68
79,18 to 24,FeelSurprised,PctNotSadCorrect,-0.332471957,0.005604272,68,68
64,18 to 24,FeelAngry,TotalPctCorrect,-0.328062231,0.006311469,68,68
13,25 to 44,FeelSad,PctSurprisedCorrect,-0.168023917,0.00661592,310,260
23,25 to 44,FeelAngry,PctNotSadCorrect,-0.149359096,0.008440914,310,310
57,18 to 24,FeelAngry,PctHappyCorrect,-0.393200693,0.009096376,68,43
65,18 to 24,FeelAfraid,PctHappyCorrect,-0.392662686,0.009200185,68,43
69,18 to 24,FeelAfraid,PctSurprisedCorrect,-0.338762178,0.009947661,68,57
43,18 to 24,FeelHappy,PctAngryCorrect,-0.3993573,0.010683851,68,40
54,18 to 24,FeelSad,PctNotHappyCorrect,-0.305704921,0.011238997,68,68
72,18 to 24,FeelAfraid,TotalPctCorrect,-0.292616484,0.015456601,68,68
21,25 to 44,FeelAngry,PctSurprisedCorrect,-0.147674045,0.017182573,310,260
78,18 to 24,FeelSurprised,PctNotHappyCorrect,-0.273325752,0.024117904,68,68
15,25 to 44,FeelSad,PctNotSadCorrect,-0.124145372,0.028856917,310,310
112,45 to 64,FeelAfraid,TotalPctCorrect,-0.324614314,0.03156666,44,44
6,25 to 44,FeelHappy,PctNotHappyCorrect,-0.120620157,0.033761022,310,310
105,45 to 64,FeelAfraid,PctHappyCorrect,-0.364257591,0.037158224,44,33
109,45 to 64,FeelAfraid,PctSurprisedCorrect,-0.347117421,0.038061741,44,36
28,25 to 44,FeelAfraid,PctAfraidCorrect,-0.177396443,0.038818896,310,136
12,25 to 44,FeelSad,PctAfraidCorrect,-0.176704369,0.039598629,310,136
85,45 to 64,FeelHappy,PctSurprisedCorrect,0.329508026,0.049707833,44,36
18,25 to 44,FeelAngry,PctSadCorrect,-0.17857316,0.051008192,310,120
53,18 to 24,FeelSad,PctSurprisedCorrect,-0.257189024,0.053440831,68,57
