,feature.a,feature.b,rho,pvalue,n.a,n.b
39,FeelSurprised,PctNotSadCorrect,-0.335102446,9.05E-13,431,431
32,FeelAfraid,TotalPctCorrect,-0.276823546,5.07E-09,431,431
40,FeelSurprised,TotalPctCorrect,-0.26801271,1.59E-08,431,431
38,FeelSurprised,PctNotHappyCorrect,-0.263855405,2.69E-08,431,431
29,FeelAfraid,PctSurprisedCorrect,-0.254003693,1.05E-06,431,360
24,FeelAngry,TotalPctCorrect,-0.227691537,1.79E-06,431,431
30,FeelAfraid,PctNotHappyCorrect,-0.225558206,2.24E-06,431,431
22,FeelAngry,PctNotHappyCorrect,-0.219776715,4.11E-06,431,431
31,FeelAfraid,PctNotSadCorrect,-0.203131054,2.14E-05,431,431
14,FeelSad,PctNotHappyCorrect,-0.190544429,6.87E-05,431,431
16,FeelSad,TotalPctCorrect,-0.188542201,8.21E-05,431,431
37,FeelSurprised,PctSurprisedCorrect,-0.199569505,0.000137953,431,360
21,FeelAngry,PctSurprisedCorrect,-0.199514762,0.00013855,431,360
13,FeelSad,PctSurprisedCorrect,-0.199229931,0.000141695,431,360
17,FeelAngry,PctHappyCorrect,-0.212639077,0.000456696,431,268
18,FeelAngry,PctSadCorrect,-0.261060973,0.00065537,431,167
23,FeelAngry,PctNotSadCorrect,-0.158407929,0.000967046,431,431
7,FeelHappy,PctNotSadCorrect,-0.156306436,0.001131472,431,431
28,FeelAfraid,PctAfraidCorrect,-0.201679449,0.006185837,431,183
15,FeelSad,PctNotSadCorrect,-0.121955968,0.011277387,431,431
25,FeelAfraid,PctHappyCorrect,-0.152074695,0.012686635,431,268
1,FeelHappy,PctHappyCorrect,0.149485178,0.014304761,431,268
26,FeelAfraid,PctSadCorrect,-0.177041536,0.022090538,431,167
20,FeelAngry,PctAfraidCorrect,-0.162431195,0.028028846,431,183
12,FeelSad,PctAfraidCorrect,-0.154677256,0.036555271,431,183
6,FeelHappy,PctNotHappyCorrect,-0.099838338,0.038278739,431,431
33,FeelSurprised,PctHappyCorrect,-0.11267227,0.065508536,431,268
8,FeelHappy,TotalPctCorrect,-0.086804082,0.071818735,431,431
10,FeelSad,PctSadCorrect,-0.138089984,0.075133522,431,167
27,FeelAfraid,PctAngryCorrect,-0.105310683,0.089525816,431,261
9,FeelSad,PctHappyCorrect,-0.101717293,0.096570333,431,268
2,FeelHappy,PctSadCorrect,0.107139009,0.168168717,431,167
11,FeelSad,PctAngryCorrect,-0.068683645,0.26890041,431,261
35,FeelSurprised,PctAngryCorrect,-0.065061083,0.295026378,431,261
3,FeelHappy,PctAngryCorrect,-0.058632383,0.345424962,431,261
5,FeelHappy,PctSurprisedCorrect,-0.047225261,0.371633008,431,360
36,FeelSurprised,PctAfraidCorrect,-0.058460961,0.431809583,431,183
34,FeelSurprised,PctSadCorrect,-0.057502004,0.460441909,431,167
19,FeelAngry,PctAngryCorrect,-0.041843302,0.500915874,431,261
4,FeelHappy,PctAfraidCorrect,-0.030029064,0.68655605,431,183
