,grouping,feature,t,pvalue,mean.y,mean.n,n.y,n.n
39,SurprisedGroup,PctNotSadCorrect,-6.652305521,3.59E-10,0.351752577,0.568832335,97,334
40,SurprisedGroup,TotalPctCorrect,-4.718952332,5.33E-06,0.599381443,0.727754491,97,334
38,SurprisedGroup,PctNotHappyCorrect,-4.658577158,6.73E-06,0.480309278,0.668952096,97,334
30,AfraidGroup,PctNotHappyCorrect,-4.280866902,5.13E-05,0.443278689,0.656702703,61,370
32,AfraidGroup,TotalPctCorrect,-4.267697952,5.87E-05,0.56,0.721756757,61,370
22,AngryGroup,PctNotHappyCorrect,-4.151448126,7.73E-05,0.458571429,0.655244565,63,368
31,AfraidGroup,PctNotSadCorrect,-3.943935007,0.000166631,0.378852459,0.543243243,61,370
24,AngryGroup,TotalPctCorrect,-3.664737372,0.000451858,0.585396825,0.718288043,63,368
29,AfraidGroup,PctSurprisedCorrect,-3.642164335,0.000571955,0.655192308,0.862435065,52,308
14,SadGroup,PctNotHappyCorrect,-3.481757242,0.000730001,0.491466667,0.65494382,75,356
16,SadGroup,TotalPctCorrect,-3.096950506,0.002550787,0.614266667,0.716685393,75,356
13,SadGroup,PctSurprisedCorrect,-3.029647294,0.003270572,0.713731343,0.859658703,67,293
23,AngryGroup,PctNotSadCorrect,-2.934419686,0.004306644,0.412063492,0.538451087,63,368
21,AngryGroup,PctSurprisedCorrect,-2.903696065,0.004991769,0.702982456,0.856864686,57,303
37,SurprisedGroup,PctSurprisedCorrect,-2.489256545,0.014538628,0.743108108,0.855629371,74,286
18,AngryGroup,PctSadCorrect,-2.337562344,0.025415476,0.637931034,0.856884058,29,138
17,AngryGroup,PctHappyCorrect,-2.203607649,0.032585379,0.817380952,0.940265487,42,226
12,SadGroup,PctAfraidCorrect,-2.195908266,0.034322317,0.466666667,0.684117647,30,153
8,HappyGroup,TotalPctCorrect,-2.096721585,0.039995546,0.691640625,0.75787234,384,47
15,SadGroup,PctNotSadCorrect,-1.898558304,0.060408443,0.454666667,0.533735955,75,356
26,AfraidGroup,PctSadCorrect,-1.88786171,0.069157248,0.66,0.846830986,25,142
20,AngryGroup,PctAfraidCorrect,-1.776192441,0.084029865,0.5,0.676428571,29,154
3,HappyGroup,PctAngryCorrect,-1.739291361,0.091369331,0.670297872,0.807692308,235,26
6,HappyGroup,PctNotHappyCorrect,-1.66699091,0.100442537,0.617708333,0.698297872,384,47
28,AfraidGroup,PctAfraidCorrect,-1.547042404,0.130547741,0.517241379,0.673181818,29,154
33,SurprisedGroup,PctHappyCorrect,-1.515583383,0.134185618,0.869636364,0.9342723,55,213
7,HappyGroup,PctNotSadCorrect,-1.481780568,0.143625906,0.512578125,0.580425532,384,47
27,AfraidGroup,PctAngryCorrect,-1.428878265,0.160855426,0.575757576,0.699649123,33,228
5,HappyGroup,PctSurprisedCorrect,-1.367614618,0.177210224,0.826168224,0.884615385,321,39
10,SadGroup,PctSadCorrect,-1.250656375,0.218115841,0.734375,0.838888889,32,135
25,AfraidGroup,PctHappyCorrect,-1.119104692,0.268992957,0.87075,0.929824561,40,228
34,SurprisedGroup,PctSadCorrect,-1.070309518,0.287948355,0.765957447,0.839583333,47,120
11,SadGroup,PctAngryCorrect,-0.766076414,0.446598572,0.637111111,0.69375,45,216
36,SurprisedGroup,PctAfraidCorrect,-0.764625516,0.447360475,0.599285714,0.663120567,42,141
35,SurprisedGroup,PctAngryCorrect,-0.732227861,0.46589947,0.647719298,0.694117647,57,204
9,SadGroup,PctHappyCorrect,-0.525860575,0.600777095,0.9032,0.925091743,50,218
2,HappyGroup,PctSadCorrect,-0.410752069,0.686813955,0.815359477,0.857142857,153,14
19,AngryGroup,PctAngryCorrect,-0.189334184,0.850648426,0.671388889,0.686,36,225
1,HappyGroup,PctHappyCorrect,-0.047797906,0.962186221,0.920785124,0.923076923,242,26
4,HappyGroup,PctAfraidCorrect,-0.015642279,0.987651209,0.648282209,0.65,163,20
